lecture_no,question,option1,option2,option3,option4,correct_option
1,What is the main purpose of Java?,Develop applications,Design hardware,Manage networks,Create databases,1
1,Who originally developed Java?,Sun Microsystems,Google,Microsoft,IBM,1
1,Which company currently owns Java?,Oracle,Apple,Intel,Meta,1
1,Java is primarily which type of language?,Object oriented,Markup,Machine,Assembly,1
1,Which file extension is used for Java source files?,.java,.class,.txt,.exe,1
1,Which method acts as the entry point of a Java program?,main(),start(),run(),execute(),1
1,Which keyword is used to define a class?,class,define,struct,module,1
1,Which symbol ends statements in Java?,;,:,.,#,1
1,Java code is first converted into what?,Bytecode,Assembly code,Machine code,Binary stream,1
1,Which component executes bytecode?,JVM,JDK,JRE,Compiler,1
1,JDK stands for?,Java Development Kit,Java Deployment Kit,Java Design Kernel,Java Documentation Kit,1
1,JRE stands for?,Java Runtime Environment,Java Runtime Engine,Java Resource Environment,Java Ready Environment,1
1,Which command compiles Java code?,javac,java,compile,jrun,1
1,Which command runs compiled Java code?,java,javac,run,execute,1
1,Which package is automatically imported in Java?,java.lang,java.util,java.io,java.awt,1
1,Which primitive type stores true or false?,boolean,int,char,float,1
1,Which primitive type stores whole numbers?,int,String,boolean,double,1
1,Which primitive type stores decimal numbers?,double,boolean,char,int,1
1,Which primitive type stores a single character?,char,String,double,boolean,1
1,Which of these is not a primitive data type?,String,int,double,char,1
1,Which keyword creates an object?,new,class,this,make,1
1,Java programs are platform independent because of?,JVM,Compiler,CPU,RAM,1
1,Which tool is included in JDK for documentation generation?,javadoc,jar,jlink,jmod,1
1,What does JVM stand for?,Java Virtual Machine,Java Variable Method,Java Visual Manager,Java Version Manager,1
1,Which memory area stores objects at runtime?,Heap,Stack,Register,Cache,1
1,Which device performs calculations and executes instructions?,CPU,Monitor,Keyboard,Printer,1
1,What does CPU stand for?,Central Processing Unit,Computer Processing Utility,Central Program Unit,Control Processing Unit,1
1,Which component is considered the brain of the computer?,CPU,RAM,SSD,GPU,1
1,Which memory loses data when power is turned off?,RAM,ROM,SSD,Hard Disk,1
1,Which memory retains data permanently?,ROM,RAM,Cache,Register,1
1,What is the full form of RAM?,Random Access Memory,Read Access Memory,Runtime Access Module,Random Allocation Memory,1
1,What is the full form of ROM?,Read Only Memory,Runtime Only Memory,Read Open Module,Random Output Memory,1
1,Which storage device is non-volatile?,SSD,RAM,Cache,Register,1
1,Which software controls hardware resources?,Operating System,Compiler,Browser,IDE,1
1,Which of these is an operating system?,Windows,Java,Chrome,Python,1
1,What is software?,Set of instructions for computer,Physical computer parts,Electronic circuits,Storage devices,1
1,What is hardware?,Physical components of computer,Programs,Algorithms,Instructions,1
1,Which device is an input device?,Keyboard,Monitor,Speaker,Projector,1
1,Which device is an output device?,Monitor,Keyboard,Mouse,Scanner,1
1,Which device performs both input and output?,Touchscreen,Printer,Speaker,Scanner,1
1,Which language is directly understood by computer hardware?,Machine Language,Java,Python,C++,1
1,High-level languages are easier because they are?,Human readable,Hardware readable,Binary only,Assembly based,1
1,What translates source code into machine code?,Compiler,CPU,RAM,Monitor,1
1,Which Java tool translates source code into bytecode?,javac,java,javadoc,jar,1
1,What is an IDE?,Integrated Development Environment,Internal Development Engine,Internet Design Environment,Integrated Data Engine,1
1,Which is an example of a Java IDE?,IntelliJ IDEA,MS Paint,Photoshop,Notepad,1
1,Which of these is NOT a Java IDE?,Google Chrome,NetBeans,Eclipse,IntelliJ,1
1,Which process finds and removes errors in code?,Debugging,Compiling,Encoding,Scanning,1
1,What is a syntax error?,Violation of language rules,Hardware failure,Slow execution,Network issue,1
1,What is the first step before executing Java code?,Compile source code,Install browser,Format disk,Restart PC,1
1,What is the correct order of program development?,Design-Code-Test,Test-Code-Design,Compile-Design-Code,Run-Test-Code,1
1,Which step identifies what problem must be solved?,Problem Analysis,Coding,Testing,Deployment,1
1,What is pseudocode used for?,Planning logic,Compiling code,Running programs,Storing files,1
1,Flowcharts mainly represent?,Program logic graphically,Hardware structure,Database tables,Network design,1
1,What does compile-time error mean?,Error during compilation,Error after shutdown,Hardware damage,Network failure,1
1,What is a runtime error?,Error during execution,Error during installation,Typing mistake only,Monitor issue,1
1,What is a logic error?,Program runs but gives wrong output,Compilation fails,PC crashes,File deleted,1
1,Which tool is used to execute Java bytecode?,JVM,Compiler,Monitor,BIOS,1
1,Which file is produced after compilation?,.class,.java,.txt,.exe,1
1,Java bytecode allows programs to be?,Platform independent,Platform locked,Hardware dependent,OS specific,1
1,Which statement about Java is true?,Write once run anywhere,Write once Windows only,Requires assembly language,Works without JVM,1
1,Which Java edition is used for desktop applications?,Java SE,Java ME,Java Card,Java TV,1
1,Which Java edition targets enterprise applications?,Java EE,Java Card,Java ME,Java Nano,1
1,Which Java edition is designed for mobile and embedded systems?,Java ME,Java EE,Java FX,Java SE,1
1,What does IDE mainly help with?,Writing and managing code,Replacing CPU,Formatting drives,Networking only,1
1,Which IDE are you currently using in this project?,IntelliJ IDEA,Photoshop,Blender,Chrome,1
1,Which keyboard shortcut usually runs programs in IntelliJ?,Shift+F10,Ctrl+Z,Alt+Tab,Ctrl+X,1
1,What is source code?,Human-readable program instructions,Machine binary only,Electrical signals,Database entries,1
1,What does execution mean in programming?,Running program instructions,Deleting code,Formatting files,Installing OS,1
1,Why are comments used in programs?,Improve readability,Increase CPU speed,Reduce RAM usage,Compile faster,1
1,Which symbol starts a single-line comment in Java?,//,**,##,@@,1
1,Which symbols create multi-line comments?,/* */,<-- -->,//,{},1
1,Which statement about Java comments is true?,Compiler ignores comments,Comments execute first,Comments create variables,Comments increase speed,1
1,What is portability in Java?,Running on multiple platforms,Using multiple monitors,Working offline only,Using many keyboards,1
1,Which component manages memory automatically in Java?,Garbage Collector,Compiler,Keyboard Driver,BIOS,1
1,What is garbage collection in Java?,Automatic memory management,Deleting source code,Compiling classes,Creating objects,1
1,Which memory area stores local variables?,Stack,Heap,ROM,Cache,1
1,Which memory area mainly stores objects?,Heap,Stack,Register,ROM,1
1,Java programs require which component installed to run?,JRE,MS Word,Photoshop,BIOS Update,1
1,What does Java API provide?,Prewritten classes and libraries,Hardware drivers only,Network cables,Operating systems,1
1,Which package contains Scanner class?,java.util,java.lang,java.io,java.net,1
1,Which package contains Math class?,java.lang,java.util,java.awt,java.io,1
1,What is the purpose of the import statement?,Access external classes,Create loops,Compile code,Faster execution,1
1,Which statement creates an object?,Student s = new Student();,Student();,object Student;,new object Student;,1
1,What happens if Java source file has syntax errors?,Compilation fails,Program runs faster,Program executes normally,OS crashes,1
1,What does testing mainly ensure?,Program correctness,More RAM,Smaller files,Faster keyboard,1
1,Which testing type checks individual parts of code?,Unit testing,System testing,Network testing,Hardware testing,1
